1.073600000000000021e-05 2.913900382698334468e+01
1.095299999999999999e-05 2.970560137648492471e+01
1.117400000000000008e-05 3.028220902506718204e+01
1.139999999999999927e-05 3.087141835442936610e+01
1.163000000000000046e-05 3.147060492812319765e+01
1.186500000000000075e-05 3.208235679479435021e+01
1.210500000000000015e-05 3.270665410195690015e+01
1.234899999999999984e-05 3.334087889916137470e+01
1.259900000000000084e-05 3.399021032239837581e+01
1.285300000000000044e-05 3.464943449217480520e+01
1.311299999999999964e-05 3.532372315475338098e+01
1.337799999999999965e-05 3.601046117865778484e+01
1.364800000000000045e-05 3.670963000921590691e+01
1.392399999999999916e-05 3.742379791329246785e+01
1.420500000000000037e-05 3.815035630714936588e+01
1.449199999999999948e-05 3.889187003591736413e+01
1.478499999999999990e-05 3.964831564952498866e+01
1.508299999999999942e-05 4.041709113418711041e+01
1.538799999999999904e-05 4.120333311819031508e+01
1.569899999999999996e-05 4.200443815734566044e+01
1.601600000000000048e-05 4.282038382979575886e+01
1.633999999999999941e-05 4.365371903769954542e+01
1.667000000000000133e-05 4.450184696825661490e+01
1.700599999999999947e-05 4.536474601567718423e+01
1.735000000000000160e-05 4.624752536541892312e+01
1.769999999999999994e-05 4.714502573855268253e+01
1.805799999999999888e-05 4.806234917881995017e+01
1.842299999999999962e-05 4.899690419613173020e+01
1.879499999999999877e-05 4.994866486386385418e+01
1.917499999999999852e-05 5.092016117529161079e+01
1.956200000000000007e-05 5.190880837057920871e+01
1.995699999999999883e-05 5.291713323497280186e+01
2.036000000000000158e-05 5.394510535232305415e+01
2.077200000000000034e-05 5.499524256532613720e+01
2.119100000000000091e-05 5.606241738209836711e+01
2.161900000000000087e-05 5.715169434176654306e+01
2.205600000000000025e-05 5.826303866698189182e+01
2.250199999999999903e-05 5.939641594766283106e+01
2.295599999999999841e-05 6.054925381276727592e+01
2.341999999999999938e-05 6.172659719390615862e+01
2.389299999999999977e-05 6.292587257149619262e+01
2.437599999999999836e-05 6.414957967278749607e+01
2.486799999999999975e-05 6.539514959895990387e+01
2.537100000000000154e-05 6.666760785613624307e+01
2.588299999999999935e-05 6.796185758645812314e+01
2.640600000000000095e-05 6.928291751129138731e+01
2.693900000000000076e-05 7.062822232696824187e+01
2.748399999999999978e-05 7.200277830413487834e+01
2.803900000000000039e-05 7.340149986278932204e+01
2.860500000000000141e-05 7.482686920545101827e+01
2.918300000000000164e-05 7.628136140408393828e+01
2.977300000000000107e-05 7.776493083913592841e+01
3.037400000000000091e-05 7.927502069727199796e+01
