# k1/kF k2/kF k3/kF P(k1) P(k2)       P(k3)       B0+BSN        BSN    N_tr    B2      B4
# 
30 20 16 4.34838142e+01 7.83916702e+01 1.04202759e+02 3.49769336e+04 1.20660420e+04 6.03547200e+06 1.08083145e+04 6.55663672e+03
30 20 18 4.34838142e+01 7.83916702e+01 8.87933197e+01 3.08568203e+04 1.13790840e+04 6.86767250e+06 9.22618457e+03 -3.84836475e+03
30 20 20 4.34838142e+01 7.83916702e+01 7.83916702e+01 2.75513281e+04 1.09153750e+04 7.63308000e+06 7.13651660e+03 2.59177026e+03
30 22 8 4.34838142e+01 7.16902695e+01 2.20283844e+02 5.52668359e+04 1.69422207e+04 1.61092200e+06 1.27462900e+04 2.58181543e+04
30 22 10 4.34838142e+01 7.16902695e+01 1.90377258e+02 5.02324805e+04 1.56089766e+04 4.07535000e+06 2.37862578e+04 4.26366260e+03
30 22 12 4.34838142e+01 7.16902695e+01 1.56465820e+02 4.23095898e+04 1.40971943e+04 4.93920000e+06 1.41607207e+04 4.59641455e+03
30 22 14 4.34838142e+01 7.16902695e+01 1.31471008e+02 3.68547617e+04 1.29829180e+04 5.77204800e+06 9.11561523e+03 5.92358154e+02
30 22 16 4.34838142e+01 7.16902695e+01 1.04202759e+02 3.18728086e+04 1.17672910e+04 6.57072000e+06 1.90372644e+03 -5.85238574e+03
30 22 18 4.34838142e+01 7.16902695e+01 8.87933197e+01 2.92662773e+04 1.10803340e+04 7.47264000e+06 7.10864600e+03 1.30319104e+03
30 22 20 4.34838142e+01 7.16902695e+01 7.83916702e+01 2.56064883e+04 1.06166250e+04 8.30654400e+06 4.90543945e+03 6.89862793e+03
30 22 22 4.34838142e+01 7.16902695e+01 7.16902695e+01 2.53085293e+04 1.03178740e+04 9.04500000e+06 3.23123706e+03 1.76505444e+03
30 24 6 4.34838142e+01 6.20309181e+01 3.13019745e+02 6.38392383e+04 2.06458008e+04 1.27247000e+06 3.06311777e+04 1.27826377e+04
30 24 8 4.34838142e+01 6.20309181e+01 2.20283844e+02 5.21009766e+04 1.65116055e+04 3.53364600e+06 1.53992725e+04 3.87689160e+03
30 24 10 4.34838142e+01 6.20309181e+01 1.90377258e+02 4.43991992e+04 1.51783594e+04 4.54802400e+06 1.07420732e+04 -8.92337158e+02
30 24 12 4.34838142e+01 6.20309181e+01 1.56465820e+02 4.03944180e+04 1.36665771e+04 5.38663200e+06 9.59143359e+03 4.01458130e+03
30 24 14 4.34838142e+01 6.20309181e+01 1.31471008e+02 3.41202852e+04 1.25523008e+04 6.29522400e+06 5.41558545e+03 4.82809131e+03
30 24 16 4.34838142e+01 6.20309181e+01 1.04202759e+02 2.94902109e+04 1.13366738e+04 7.16865600e+06 2.16235352e+03 -1.79278650e+03
30 24 18 4.34838142e+01 6.20309181e+01 8.87933197e+01 2.66971406e+04 1.06497168e+04 8.14982450e+06 6.04547070e+03 -2.60994202e+02
30 24 20 4.34838142e+01 6.20309181e+01 7.83916702e+01 2.45676895e+04 1.01860078e+04 9.06216000e+06 6.12576611e+03 2.18780444e+03
30 24 22 4.34838142e+01 6.20309181e+01 7.16902695e+01 2.30681230e+04 9.88725781e+03 9.86613600e+06 -7.61902084e+01 -5.46677063e+02
30 24 24 4.34838142e+01 6.20309181e+01 6.20309181e+01 2.28096914e+04 9.45664062e+03 1.07582400e+07 2.36126294e+03 2.34824048e+03
30 26 4 4.34838142e+01 5.08500633e+01 3.98782349e+02 7.81630234e+04 2.39706777e+04 9.41510000e+05 3.49502539e+04 1.03147100e+04
30 26 6 4.34838142e+01 5.08500633e+01 3.13019745e+02 6.72185156e+04 2.01473535e+04 2.84511000e+06 2.18118438e+04 -1.47669414e+04
30 26 8 4.34838142e+01 5.08500633e+01 2.20283844e+02 4.40821992e+04 1.60131592e+04 3.96847200e+06 1.03516484e+04 7.41793262e+03
30 26 10 4.34838142e+01 5.08500633e+01 1.90377258e+02 3.84980469e+04 1.46799131e+04 4.98715200e+06 9.49865332e+03 7.59636035e+03
30 26 12 4.34838142e+01 5.08500633e+01 1.56465820e+02 3.40298242e+04 1.31681318e+04 5.90361650e+06 2.71829492e+03 -3.84771393e+02
30 26 14 4.34838142e+01 5.08500633e+01 1.31471008e+02 3.10823574e+04 1.20538545e+04 6.89856000e+06 4.87991064e+03 1.33165845e+03
30 26 16 4.34838142e+01 5.08500633e+01 1.04202759e+02 2.67383750e+04 1.08382285e+04 7.85328000e+06 2.81561963e+03 -2.82621338e+03
30 26 18 4.34838142e+01 5.08500633e+01 8.87933197e+01 2.55266270e+04 1.01512705e+04 8.93846400e+06 2.98029175e+03 -1.67788086e+03
30 26 20 4.34838142e+01 5.08500633e+01 7.83916702e+01 2.34255254e+04 9.68756152e+03 9.93388800e+06 2.96293677e+03 3.19938965e+03
30 26 22 4.34838142e+01 5.08500633e+01 7.16902695e+01 2.19926133e+04 9.38881152e+03 1.08131520e+07 3.40840820e+03 3.62041664e+00
30 26 24 4.34838142e+01 5.08500633e+01 6.20309181e+01 2.04242812e+04 8.95819434e+03 1.17991920e+07 8.51045837e+02 -6.56658936e+02
30 26 26 4.34838142e+01 5.08500633e+01 5.08500633e+01 1.90721309e+04 8.45974902e+03 1.29251510e+07 1.22115527e+03 -3.45679810e+03
30 28 2 4.34838142e+01 4.90490913e+01 6.35353516e+02 1.24043086e+05 3.44368047e+04 4.68296000e+05 2.29847441e+04 -1.09974941e+04
30 28 4 4.34838142e+01 4.90490913e+01 3.98782349e+02 7.66251953e+04 2.38903887e+04 2.03155800e+06 2.67213652e+04 1.37169082e+04
30 28 6 4.34838142e+01 4.90490913e+01 3.13019745e+02 6.05131211e+04 2.00670664e+04 3.09924000e+06 1.33111299e+04 -7.90541602e+03
30 28 8 4.34838142e+01 4.90490913e+01 2.20283844e+02 4.03190312e+04 1.59328711e+04 4.22263200e+06 4.47791064e+03 -3.93729883e+03
30 28 10 4.34838142e+01 4.90490913e+01 1.90377258e+02 4.01375508e+04 1.45996260e+04 5.30304000e+06 1.16343750e+04 -1.19616492e+03
30 28 12 4.34838142e+01 4.90490913e+01 1.56465820e+02 3.24878184e+04 1.30878438e+04 6.27552000e+06 2.67939545e+02 2.02077344e+03
30 28 14 4.34838142e+01 4.90490913e+01 1.31471008e+02 3.05575605e+04 1.19735674e+04 7.33929600e+06 2.43069141e+03 -3.40952881e+03
30 28 16 4.34838142e+01 4.90490913e+01 1.04202759e+02 2.58434336e+04 1.07579404e+04 8.35192800e+06 2.63460400e+03 3.79107153e+03
30 28 18 4.34838142e+01 4.90490913e+01 8.87933197e+01 2.50102734e+04 1.00709834e+04 9.50428800e+06 1.24422388e+03 -1.67779285e+03
30 28 20 4.34838142e+01 4.90490913e+01 7.83916702e+01 2.28060078e+04 9.60727441e+03 1.05650160e+07 1.42510278e+03 -1.57992249e+03
30 28 22 4.34838142e+01 4.90490913e+01 7.16902695e+01 2.24845664e+04 9.30852344e+03 1.14997200e+07 2.69602563e+03 -1.94717981e+03
30 28 24 4.34838142e+01 4.90490913e+01 6.20309181e+01 2.15302988e+04 8.87790625e+03 1.25462880e+07 2.13064282e+03 -1.93415625e+03
30 28 26 4.34838142e+01 4.90490913e+01 5.08500633e+01 2.02196367e+04 8.37946094e+03 1.37515690e+07 9.14819031e+02 1.10705627e+03
30 28 28 4.34838142e+01 4.90490913e+01 4.90490913e+01 1.97675625e+04 8.29917285e+03 1.46193600e+07 1.54141211e+03 -1.46659387e+03
30 30 2 4.34838142e+01 4.34838142e+01 6.35353516e+02 1.13223336e+05 3.41887031e+04 9.01296000e+05 1.50284326e+04 -1.32159443e+04
30 30 4 4.34838142e+01 4.34838142e+01 3.98782349e+02 7.03376875e+04 2.36422871e+04 2.23485600e+06 6.14459473e+03 1.87980488e+04
30 30 6 4.34838142e+01 4.34838142e+01 3.13019745e+02 5.62563750e+04 1.98189648e+04 3.33249600e+06 -1.01625928e+04 5.22409277e+03
30 30 8 4.34838142e+01 4.34838142e+01 2.20283844e+02 4.40291953e+04 1.56847695e+04 4.53489600e+06 8.62333984e+03 3.95859033e+03
30 30 10 4.34838142e+01 4.34838142e+01 1.90377258e+02 3.45164531e+04 1.43515244e+04 5.69714400e+06 4.58303162e+02 1.01330918e+04
30 30 12 4.34838142e+01 4.34838142e+01 1.56465820e+02 3.52936289e+04 1.28397422e+04 6.74565600e+06 -2.87034473e+03 9.02944702e+02
30 30 14 4.34838142e+01 4.34838142e+01 1.31471008e+02 3.01992344e+04 1.17254648e+04 7.88366450e+06 3.54228687e+03 3.65227979e+03
30 30 16 4.34838142e+01 4.34838142e+01 1.04202759e+02 2.54918184e+04 1.05098389e+04 8.97852000e+06 4.90193262e+03 -2.14069946e+03
30 30 18 4.34838142e+01 4.34838142e+01 8.87933197e+01 2.40559980e+04 9.82288086e+03 1.02103920e+07 8.99370956e+01 -2.47400708e+03
30 30 20 4.34838142e+01 4.34838142e+01 7.83916702e+01 2.37822969e+04 9.35917285e+03 1.13464320e+07 2.48624072e+03 2.33007446e+02
30 30 22 4.34838142e+01 4.34838142e+01 7.16902695e+01 2.30771641e+04 9.06042188e+03 1.23609120e+07 3.53362402e+03 4.22128754e+02
30 30 24 4.34838142e+01 4.34838142e+01 6.20309181e+01 1.94429043e+04 8.62980469e+03 1.34706480e+07 5.76475391e+03 -6.58625641e+01
30 30 26 4.34838142e+01 4.34838142e+01 5.08500633e+01 1.76126387e+04 8.13135889e+03 1.47692400e+07 1.80578992e+03 1.43122656e+03
30 30 28 4.34838142e+01 4.34838142e+01 4.90490913e+01 1.77628887e+04 8.05107129e+03 1.57187030e+07 1.41968613e+02 -3.72321442e+02
30 30 30 4.34838142e+01 4.34838142e+01 4.34838142e+01 1.68522109e+04 7.80296924e+03 1.68672960e+07 8.30257446e+02 1.01099915e+03
32 16 16 3.97891655e+01 1.04202759e+02 1.04202759e+02 4.52595938e+04 1.30519990e+04 2.49793400e+06 2.65344219e+04 5.50020654e+03
32 18 14 3.97891655e+01 8.87933197e+01 1.31471008e+02 4.75830391e+04 1.35806680e+04 2.51247800e+06 3.02202520e+04 1.71101406e+04
32 18 16 3.97891655e+01 8.87933197e+01 1.04202759e+02 3.92678438e+04 1.23650420e+04 5.70447800e+06 2.08004004e+04 4.66035303e+03
32 18 18 3.97891655e+01 8.87933197e+01 8.87933197e+01 3.32962656e+04 1.16780840e+04 6.65440800e+06 9.27736914e+03 7.67968750e+02
32 20 12 3.97891655e+01 7.83916702e+01 1.56465820e+02 5.01107148e+04 1.42312363e+04 2.41825000e+06 3.76145234e+04 1.29326562e+04
32 20 14 3.97891655e+01 7.83916702e+01 1.31471008e+02 4.11914375e+04 1.31169600e+04 5.57703800e+06 2.33693477e+04 1.09310195e+04
32 20 16 3.97891655e+01 7.83916702e+01 1.04202759e+02 3.52924141e+04 1.19013330e+04 6.50191200e+06 1.46909141e+04 7.09931787e+03
32 20 18 3.97891655e+01 7.83916702e+01 8.87933197e+01 2.99891738e+04 1.12143760e+04 7.39255150e+06 1.21012109e+04 1.84853943e+02
32 20 20 3.97891655e+01 7.83916702e+01 7.83916702e+01 2.79715391e+04 1.07506670e+04 8.21709550e+06 8.82290332e+03 -1.66887238e+02
32 22 10 3.97891655e+01 7.16902695e+01 1.90377258e+02 5.06745977e+04 1.54442676e+04 2.21232200e+06 2.36509375e+04 -7.71905127e+03
32 22 12 3.97891655e+01 7.16902695e+01 1.56465820e+02 4.45836211e+04 1.39324854e+04 5.19865800e+06 1.91330195e+04 7.85582422e+03
32 22 14 3.97891655e+01 7.16902695e+01 1.31471008e+02 3.95288359e+04 1.28182090e+04 6.21307200e+06 1.84223047e+04 7.34955322e+03
32 22 16 3.97891655e+01 7.16902695e+01 1.04202759e+02 3.37938984e+04 1.16025820e+04 7.07536800e+06 6.36258789e+03 -2.13344556e+03
32 22 18 3.97891655e+01 7.16902695e+01 8.87933197e+01 2.70210000e+04 1.09156250e+04 8.05015200e+06 6.33264209e+03 5.20017969e+03
32 22 20 3.97891655e+01 7.16902695e+01 7.83916702e+01 2.70409043e+04 1.04519160e+04 8.94801600e+06 4.37276855e+03 3.24925562e+03
32 22 22 3.97891655e+01 7.16902695e+01 7.16902695e+01 2.61344434e+04 1.01531660e+04 9.74095200e+06 4.19086279e+03 -3.25963330e+03
32 24 8 3.97891655e+01 6.20309181e+01 2.20283844e+02 5.47223477e+04 1.63468965e+04 1.87286600e+06 2.29168105e+04 5.89090430e+03
32 24 10 3.97891655e+01 6.20309181e+01 1.90377258e+02 4.93034844e+04 1.50136504e+04 4.78174200e+06 2.39502363e+04 8.46947070e+03
32 24 12 3.97891655e+01 6.20309181e+01 1.56465820e+02 3.96800117e+04 1.35018691e+04 5.80000800e+06 1.04745537e+04 -3.65512299e+02
32 24 14 3.97891655e+01 6.20309181e+01 1.31471008e+02 3.37329883e+04 1.23875918e+04 6.77836800e+06 8.91039258e+03 2.04238770e+02
32 24 16 3.97891655e+01 6.20309181e+01 1.04202759e+02 3.08213828e+04 1.11719658e+04 7.71914400e+06 2.66581714e+03 -3.98262915e+03
32 24 18 3.97891655e+01 6.20309181e+01 8.87933197e+01 2.65997910e+04 1.04850078e+04 8.78095200e+06 5.49356787e+03 1.77669421e+03
32 24 20 3.97891655e+01 6.20309181e+01 7.83916702e+01 2.57960273e+04 1.00212998e+04 9.76125600e+06 3.27473218e+03 9.61900635e+02
32 24 22 3.97891655e+01 6.20309181e+01 7.16902695e+01 2.34313672e+04 9.72254883e+03 1.06207440e+07 3.89439819e+03 2.37749805e+03
32 24 24 3.97891655e+01 6.20309181e+01 6.20309181e+01 2.19199883e+04 9.29193164e+03 1.15895040e+07 5.56783252e+03 -1.05882080e+03
32 26 6 3.97891655e+01 5.08500633e+01 3.13019745e+02 6.32125859e+04 1.99826465e+04 1.50085000e+06 3.16293730e+04 1.55594111e+04
32 26 8 3.97891655e+01 5.08500633e+01 2.20283844e+02 4.97119805e+04 1.58484502e+04 4.16716200e+06 1.60808779e+04 -1.19017017e+03
32 26 10 3.97891655e+01 5.08500633e+01 1.90377258e+02 4.16840195e+04 1.45152051e+04 5.36661600e+06 1.09992432e+04 -6.73179199e+02
32 26 12 3.97891655e+01 5.08500633e+01 1.56465820e+02 3.43573711e+04 1.30034229e+04 6.35719200e+06 5.85748193e+03 2.02277356e+03
32 26 14 3.97891655e+01 5.08500633e+01 1.31471008e+02 3.06530703e+04 1.18891465e+04 7.43714400e+06 4.47071924e+03 -1.14709520e+01
32 26 16 3.97891655e+01 5.08500633e+01 1.04202759e+02 2.70588418e+04 1.06735195e+04 8.45920800e+06 4.01921899e+03 -2.86637476e+03
32 26 18 3.97891655e+01 5.08500633e+01 8.87933197e+01 2.53003809e+04 9.98656250e+03 9.62128800e+06 4.04022241e+03 1.31420911e+03
32 26 20 3.97891655e+01 5.08500633e+01 7.83916702e+01 2.27535898e+04 9.52285352e+03 1.06950480e+07 2.99899292e+03 -1.71254501e+02
32 26 22 3.97891655e+01 5.08500633e+01 7.16902695e+01 2.25285625e+04 9.22410254e+03 1.16504640e+07 3.29216919e+03 -2.23668799e+03
32 26 24 3.97891655e+01 5.08500633e+01 6.20309181e+01 1.99128867e+04 8.79348633e+03 1.27014230e+07 2.10095703e+03 -1.48153369e+03
32 26 26 3.97891655e+01 5.08500633e+01 5.08500633e+01 1.86582480e+04 8.29504004e+03 1.39247280e+07 2.21642627e+03 9.75141449e+01
32 28 4 3.97891655e+01 4.90490913e+01 3.98782349e+02 6.58313359e+04 2.37256816e+04 1.07564600e+06 3.93004922e+04 4.01610938e+03
32 28 6 3.97891655e+01 4.90490913e+01 3.13019745e+02 6.51244453e+04 1.99023574e+04 3.25592600e+06 2.93004688e+04 9.61143262e+03
32 28 8 3.97891655e+01 4.90490913e+01 2.20283844e+02 4.63925781e+04 1.57681621e+04 4.54588800e+06 1.44639395e+04 6.23204492e+03
32 28 10 3.97891655e+01 4.90490913e+01 1.90377258e+02 3.97191094e+04 1.44349170e+04 5.71394400e+06 8.40871289e+03 1.10276575e+03
32 28 12 3.97891655e+01 4.90490913e+01 1.56465820e+02 3.51313125e+04 1.29231348e+04 6.76029650e+06 6.29718799e+03 -2.58794189e+03
32 28 14 3.97891655e+01 4.90490913e+01 1.31471008e+02 2.94223066e+04 1.18088584e+04 7.90116000e+06 7.78960645e+03 -5.33840881e+02
32 28 16 3.97891655e+01 4.90490913e+01 1.04202759e+02 2.47257734e+04 1.05932314e+04 8.99618400e+06 1.52983984e+03 -2.87849365e+03
32 28 18 3.97891655e+01 4.90490913e+01 8.87933197e+01 2.45071152e+04 9.90627441e+03 1.02361440e+07 1.13074915e+03 -3.14905609e+02
32 28 20 3.97891655e+01 4.90490913e+01 7.83916702e+01 2.28393262e+04 9.44256543e+03 1.13768640e+07 4.37670752e+03 4.23427393e+03
32 28 22 3.97891655e+01 4.90490913e+01 7.16902695e+01 2.14885039e+04 9.14381445e+03 1.23875270e+07 2.84566675e+03 -2.52404663e+03
32 28 24 3.97891655e+01 4.90490913e+01 6.20309181e+01 1.95890391e+04 8.71319824e+03 1.35089520e+07 1.76710864e+03 3.87914093e+02
32 28 26 3.97891655e+01 4.90490913e+01 5.08500633e+01 1.96287793e+04 8.21475195e+03 1.48096790e+07 2.73484717e+03 -4.16128357e+02
32 28 28 3.97891655e+01 4.90490913e+01 4.90490913e+01 1.83032031e+04 8.13446436e+03 1.57515600e+07 2.67772266e+03 6.13445496e+02
32 30 2 3.97891655e+01 4.34838142e+01 6.35353516e+02 1.13417672e+05 3.40239922e+04 5.37044000e+05 5.07277773e+04 -3.07826562e+04
32 30 4 3.97891655e+01 4.34838142e+01 3.98782349e+02 7.40756094e+04 2.34775781e+04 2.34659000e+06 2.74166250e+04 -9.52108887e+03
32 30 6 3.97891655e+01 4.34838142e+01 3.13019745e+02 5.69116484e+04 1.96542559e+04 3.58600800e+06 8.58323633e+03 3.00600024e+03
32 30 8 3.97891655e+01 4.34838142e+01 2.20283844e+02 4.06751328e+04 1.55200605e+04 4.88541600e+06 4.00598999e+03 4.91863232e+03
32 30 10 3.97891655e+01 4.34838142e+01 1.90377258e+02 3.75917539e+04 1.41868154e+04 6.13492800e+06 2.68796240e+03 4.92316699e+03
32 30 12 3.97891655e+01 4.34838142e+01 1.56465820e+02 3.22752480e+04 1.26750332e+04 7.26446400e+06 -9.72660522e+02 -5.30923926e+03
32 30 14 3.97891655e+01 4.34838142e+01 1.31471008e+02 2.96433770e+04 1.15607568e+04 8.48875200e+06 1.88556873e+03 1.17841663e+03
32 30 16 3.97891655e+01 4.34838142e+01 1.04202759e+02 2.54548027e+04 1.03451299e+04 9.66602400e+06 1.42332190e+03 1.57077136e+03
32 30 18 3.97891655e+01 4.34838142e+01 8.87933197e+01 2.28916152e+04 9.65817285e+03 1.09992240e+07 -1.22216789e+02 -1.37690356e+03
32 30 20 3.97891655e+01 4.34838142e+01 7.83916702e+01 2.21097441e+04 9.19446387e+03 1.22236800e+07 2.22701920e+02 -1.16897961e+03
32 30 22 3.97891655e+01 4.34838142e+01 7.16902695e+01 2.13473965e+04 8.89571289e+03 1.33032710e+07 3.02157031e+03 6.98487854e+02
32 30 24 3.97891655e+01 4.34838142e+01 6.20309181e+01 2.00745547e+04 8.46509668e+03 1.45179840e+07 1.50221545e+03 2.90397729e+03
32 30 26 3.97891655e+01 4.34838142e+01 5.08500633e+01 1.86065254e+04 7.96665039e+03 1.59108240e+07 3.06318335e+03 4.54507996e+02
32 30 28 3.97891655e+01 4.34838142e+01 4.90490913e+01 1.81031641e+04 7.88636230e+03 1.69119360e+07 1.31661047e+03 1.01715881e+03
32 30 30 3.97891655e+01 4.34838142e+01 4.34838142e+01 1.67489844e+04 7.63826074e+03 1.81863840e+07 2.71148010e+02 -2.53643848e+03
32 32 2 3.97891655e+01 3.97891655e+01 6.35353516e+02 1.07192391e+05 3.38592852e+04 1.04396800e+06 2.88697637e+04 4.78438916e+03
32 32 4 3.97891655e+01 3.97891655e+01 3.98782349e+02 6.83863125e+04 2.33128711e+04 2.59288800e+06 -3.31952808e+03 -9.82475977e+03
32 32 6 3.97891655e+01 3.97891655e+01 3.13019745e+02 5.76759453e+04 1.94895469e+04 3.86611200e+06 4.53673486e+03 6.79608984e+03
32 32 8 3.97891655e+01 3.97891655e+01 2.20283844e+02 4.02038789e+04 1.53553516e+04 5.25818400e+06 1.38890205e+04 -1.39486755e+02
32 32 10 3.97891655e+01 3.97891655e+01 1.90377258e+02 3.36612930e+04 1.40221064e+04 6.60875950e+06 5.06476367e+03 -1.01143085e+03
32 32 12 3.97891655e+01 3.97891655e+01 1.56465820e+02 3.32198867e+04 1.25103242e+04 7.82265650e+06 5.11183057e+03 -1.19376404e+03
32 32 14 3.97891655e+01 3.97891655e+01 1.31471008e+02 2.80386035e+04 1.13960479e+04 9.14251200e+06 4.02531104e+03 2.11007837e+03
32 32 16 3.97891655e+01 3.97891655e+01 1.04202759e+02 2.57212578e+04 1.01804209e+04 1.04130000e+07 3.09084155e+03 -3.32173657e+03
32 32 18 3.97891655e+01 3.97891655e+01 8.87933197e+01 2.25805664e+04 9.49346387e+03 1.18413370e+07 1.33814197e+03 1.61544470e+03
32 32 20 3.97891655e+01 3.97891655e+01 7.83916702e+01 2.08465957e+04 9.02975488e+03 1.31620800e+07 -8.18771423e+02 -1.30988330e+03
32 32 22 3.97891655e+01 3.97891655e+01 7.16902695e+01 2.04735586e+04 8.73100488e+03 1.43338560e+07 1.23270398e+03 -3.77251556e+02
32 32 24 3.97891655e+01 3.97891655e+01 6.20309181e+01 1.88787266e+04 8.30038770e+03 1.56334320e+07 2.45957666e+03 -2.53201245e+03
32 32 26 3.97891655e+01 3.97891655e+01 5.08500633e+01 1.73604941e+04 7.80194141e+03 1.71270000e+07 1.89251758e+03 -7.65880051e+01
32 32 28 3.97891655e+01 3.97891655e+01 4.90490913e+01 1.75175820e+04 7.72165381e+03 1.82290560e+07 1.23362878e+03 1.29568030e+03
32 32 30 3.97891655e+01 3.97891655e+01 4.34838142e+01 1.66252832e+04 7.47355225e+03 1.95746160e+07 1.42864124e+03 2.19203003e+02
32 32 32 3.97891655e+01 3.97891655e+01 3.97891655e+01 1.59130039e+04 7.30884326e+03 2.10785760e+07 6.53866119e+01 7.99092163e+02
34 18 16 3.51401558e+01 8.87933197e+01 1.04202759e+02 3.82652930e+04 1.21577881e+04 2.99239800e+06 2.31550469e+04 6.24235156e+03
34 18 18 3.51401558e+01 8.87933197e+01 8.87933197e+01 3.46174961e+04 1.14708301e+04 6.87025400e+06 2.21951406e+04 1.20007891e+04
34 20 14 3.51401558e+01 7.83916702e+01 1.31471008e+02 4.29325312e+04 1.29097051e+04 2.96355775e+06 2.83108984e+04 2.77417944e+03
34 20 16 3.51401558e+01 7.83916702e+01 1.04202759e+02 3.56202227e+04 1.16940791e+04 6.71905400e+06 1.36614590e+04 2.21024704e+02
34 20 18 3.51401558e+01 7.83916702e+01 8.87933197e+01 3.15873105e+04 1.10071211e+04 7.83693600e+06 1.14353008e+04 5.07683691e+03
34 20 20 3.51401558e+01 7.83916702e+01 7.83916702e+01 2.84209043e+04 1.05434121e+04 8.71279200e+06 7.75786572e+03 -1.95759961e+03
34 22 12 3.51401558e+01 7.16902695e+01 1.56465820e+02 4.25108789e+04 1.37252314e+04 2.76765800e+06 3.15526328e+04 1.33959844e+04
34 22 14 3.51401558e+01 7.16902695e+01 1.31471008e+02 3.86960156e+04 1.26109551e+04 6.43416650e+06 1.71208359e+04 7.18903125e+03
34 22 16 3.51401558e+01 7.16902695e+01 1.04202759e+02 3.33367461e+04 1.13953281e+04 7.49925650e+06 8.91837598e+03 1.16605066e+03
34 22 18 3.51401558e+01 7.16902695e+01 8.87933197e+01 2.82411094e+04 1.07083711e+04 8.53137600e+06 9.35872461e+03 -5.39977661e+02
34 22 20 3.51401558e+01 7.16902695e+01 7.83916702e+01 2.73807695e+04 1.02446621e+04 9.47846400e+06 6.64366504e+03 -2.01707092e+03
34 22 22 3.51401558e+01 7.16902695e+01 7.16902695e+01 2.64634375e+04 9.94591113e+03 1.03248960e+07 6.00551025e+03 -1.11824438e+03
34 24 10 3.51401558e+01 6.20309181e+01 1.90377258e+02 4.70731875e+04 1.48063965e+04 2.51811800e+06 1.21261699e+04 5.19316711e+02
34 24 12 3.51401558e+01 6.20309181e+01 1.56465820e+02 4.06242344e+04 1.32946143e+04 6.00039000e+06 1.46317617e+04 5.91915381e+03
34 24 14 3.51401558e+01 6.20309181e+01 1.31471008e+02 3.52258867e+04 1.21803379e+04 7.18351150e+06 1.35486094e+04 1.70471692e+03
34 24 16 3.51401558e+01 6.20309181e+01 1.04202759e+02 2.95262344e+04 1.09647109e+04 8.17896000e+06 5.60641553e+03 6.43316711e+02
34 24 18 3.51401558e+01 6.20309181e+01 8.87933197e+01 2.76979570e+04 1.02777539e+04 9.30357600e+06 8.87798633e+03 -3.33483740e+03
34 24 20 3.51401558e+01 6.20309181e+01 7.83916702e+01 2.60163086e+04 9.81404492e+03 1.03437360e+07 3.18892603e+03 -8.09941483e+01
34 24 22 3.51401558e+01 6.20309181e+01 7.16902695e+01 2.42562832e+04 9.51529492e+03 1.12581840e+07 4.88367041e+03 1.70269543e+03
34 24 24 3.51401558e+01 6.20309181e+01 6.20309181e+01 2.17016094e+04 9.08467773e+03 1.22802240e+07 5.09196484e+03 -4.60550964e+02
34 26 8 3.51401558e+01 5.08500633e+01 2.20283844e+02 4.89561641e+04 1.56411963e+04 2.16338600e+06 1.64109551e+04 3.32892188e+03
34 26 10 3.51401558e+01 5.08500633e+01 1.90377258e+02 4.39956719e+04 1.43079512e+04 5.54969400e+06 1.77799766e+04 -4.14068408e+03
34 26 12 3.51401558e+01 5.08500633e+01 1.56465820e+02 3.63984492e+04 1.27961689e+04 6.73812000e+06 1.47849707e+04 5.78468213e+03
34 26 14 3.51401558e+01 5.08500633e+01 1.31471008e+02 3.13103105e+04 1.16818916e+04 7.86780000e+06 1.02015039e+04 2.40856738e+03
34 26 16 3.51401558e+01 5.08500633e+01 1.04202759e+02 2.69119277e+04 1.04662656e+04 8.96877600e+06 4.13055957e+03 -7.51018311e+02
34 26 18 3.51401558e+01 5.08500633e+01 8.87933197e+01 2.49604707e+04 9.77930762e+03 1.01971200e+07 6.39863965e+03 -3.35322510e+03
34 26 20 3.51401558e+01 5.08500633e+01 7.83916702e+01 2.26749453e+04 9.31559961e+03 1.13356320e+07 3.11415186e+03 9.62721985e+02
34 26 22 3.51401558e+01 5.08500633e+01 7.16902695e+01 2.18796016e+04 9.01684863e+03 1.23374880e+07 3.89789380e+03 1.84416275e+02
34 26 24 3.51401558e+01 5.08500633e+01 6.20309181e+01 2.03626094e+04 8.58623145e+03 1.34614320e+07 3.43315283e+03 -3.52071991e+02
34 26 26 3.51401558e+01 5.08500633e+01 5.08500633e+01 1.82561973e+04 8.08778564e+03 1.47577920e+07 2.43088672e+03 -6.12003296e+02
34 28 6 3.51401558e+01 4.90490913e+01 3.13019745e+02 6.33685273e+04 1.96951035e+04 1.67917400e+06 4.64657617e+04 8.11505664e+03
34 28 8 3.51401558e+01 4.90490913e+01 2.20283844e+02 4.59200430e+04 1.55609082e+04 4.69275000e+06 1.78629297e+04 5.34998828e+03
34 28 10 3.51401558e+01 4.90490913e+01 1.90377258e+02 4.09503633e+04 1.42276631e+04 6.04900800e+06 1.37732686e+04 5.35157275e+03
34 28 12 3.51401558e+01 4.90490913e+01 1.56465820e+02 3.38753242e+04 1.27158809e+04 7.16493550e+06 4.61764160e+03 8.85865555e+01
34 28 14 3.51401558e+01 4.90490913e+01 1.31471008e+02 2.99472480e+04 1.16016045e+04 8.38279200e+06 4.79768799e+03 1.33126907e+02
