# k1/kF k2/kF k3/kF P(k1) P(k2)       P(k3)       B0+BSN        BSN    N_tr    B2      B4
# 
12 12 6 1.56465820e+02 1.56465820e+02 3.13019745e+02 1.16751820e+05 2.98925098e+04 5.32848000e+05 -1.02956211e+04 7.49344482e+03
12 12 8 1.56465820e+02 1.56465820e+02 2.20283844e+02 8.56474609e+04 2.57583145e+04 7.23936000e+05 3.97068906e+04 1.52025176e+04
12 12 10 1.56465820e+02 1.56465820e+02 1.90377258e+02 8.10378984e+04 2.44250684e+04 9.10200000e+05 4.51188672e+03 -1.85917324e+04
12 12 12 1.56465820e+02 1.56465820e+02 1.56465820e+02 5.14380742e+04 2.29132871e+04 1.07361600e+06 1.47456787e+03 -1.19151885e+04
14 8 6 1.31471008e+02 2.20283844e+02 3.13019745e+02 1.62655562e+05 3.16232598e+04 1.95253984e+05 1.97187234e+05 8.00167578e+04
14 8 8 1.31471008e+02 2.20283844e+02 2.20283844e+02 1.19974375e+05 2.74890645e+04 5.53770000e+05 9.72370781e+04 1.33987915e+03
14 10 4 1.31471008e+02 1.90377258e+02 3.98782349e+02 1.39151375e+05 3.41133398e+04 1.68590000e+05 9.35011094e+04 -4.06308086e+04
14 10 6 1.31471008e+02 1.90377258e+02 3.13019745e+02 1.42520594e+05 3.02900156e+04 5.11470000e+05 9.41416328e+04 7.95961719e+04
14 10 8 1.31471008e+02 1.90377258e+02 2.20283844e+02 1.07220391e+05 2.61558203e+04 7.14672000e+05 5.94541250e+04 -3.09563477e+03
14 10 10 1.31471008e+02 1.90377258e+02 1.90377258e+02 9.34067969e+04 2.48225742e+04 8.98463938e+05 3.18073789e+04 2.67306934e+03
14 12 2 1.31471008e+02 1.56465820e+02 6.35353516e+02 2.80536406e+05 4.31479688e+04 9.37159922e+04 2.64591031e+05 2.40362500e+05
14 12 4 1.31471008e+02 1.56465820e+02 3.98782349e+02 1.55972250e+05 3.26015566e+04 4.07094000e+05 1.59327391e+05 7.43193672e+04
14 12 6 1.31471008e+02 1.56465820e+02 3.13019745e+02 1.07314875e+05 2.87782324e+04 6.21288000e+05 5.63728477e+04 1.62966230e+04
14 12 8 1.31471008e+02 1.56465820e+02 2.20283844e+02 8.92619297e+04 2.46440371e+04 8.46960000e+05 2.91791328e+04 1.06749668e+04
14 12 10 1.31471008e+02 1.56465820e+02 1.90377258e+02 7.58607734e+04 2.33107930e+04 1.06344000e+06 2.60239219e+04 -1.73985449e+04
14 12 12 1.31471008e+02 1.56465820e+02 1.56465820e+02 6.58616406e+04 2.17990098e+04 1.25952000e+06 -9.59856934e+03 2.07066660e+04
14 14 2 1.31471008e+02 1.31471008e+02 6.35353516e+02 2.18093281e+05 4.20336914e+04 1.96608000e+05 8.44831016e+04 -4.48956250e+04
14 14 4 1.31471008e+02 1.31471008e+02 3.98782349e+02 1.50986953e+05 3.14872793e+04 4.86816000e+05 5.24388242e+04 4.24318789e+04
14 14 6 1.31471008e+02 1.31471008e+02 3.13019745e+02 1.09787375e+05 2.76639570e+04 7.27008000e+05 3.30722461e+04 8.96893516e+04
14 14 8 1.31471008e+02 1.31471008e+02 2.20283844e+02 6.82522891e+04 2.35297617e+04 9.90264000e+05 7.58932324e+03 1.36166250e+04
14 14 10 1.31471008e+02 1.31471008e+02 1.90377258e+02 6.55344961e+04 2.21965156e+04 1.24233600e+06 2.01023516e+04 1.91501738e+04
14 14 12 1.31471008e+02 1.31471008e+02 1.56465820e+02 5.89270234e+04 2.06847344e+04 1.47192000e+06 2.79288809e+04 9.70416016e+03
14 14 14 1.31471008e+02 1.31471008e+02 1.31471008e+02 5.34652344e+04 1.95704570e+04 1.72036788e+06 3.02090703e+04 1.53460413e+03
16 8 8 1.04202759e+02 2.20283844e+02 2.20283844e+02 1.12608336e+05 2.62734375e+04 3.06198000e+05 2.23083574e+04 1.46948594e+04
16 10 6 1.04202759e+02 1.90377258e+02 3.13019745e+02 1.41360203e+05 2.90743887e+04 2.86142000e+05 9.16376094e+04 -1.42044648e+04
16 10 8 1.04202759e+02 1.90377258e+02 2.20283844e+02 1.16380625e+05 2.49401934e+04 7.93242000e+05 6.90862344e+04 -3.35760195e+04
16 10 10 1.04202759e+02 1.90377258e+02 1.90377258e+02 9.45887188e+04 2.36069473e+04 1.02273600e+06 8.17097070e+03 -1.24315664e+04
16 12 4 1.04202759e+02 1.56465820e+02 3.98782349e+02 1.45705094e+05 3.13859297e+04 2.29082016e+05 2.64670254e+04 -4.82111035e+03
16 12 6 1.04202759e+02 1.56465820e+02 3.13019745e+02 1.28277766e+05 2.75626055e+04 6.90714000e+05 1.32468688e+05 5.67826367e+04
